База данных обычного бетона — Normal Concrete ML Dataset;;;;;;;;;;;
Всего строк: 2412  |  Оба таргета (Slump+CS): 873  |  Только CS_28d: 1539  |  Источники: UCI Slump Test (Yeh,2007), Mendeley Guangxi (2022), UCI CS (Yeh,1998), Лист6;;;;;;;;;;;
Цемент (кг/м³);Шлак BFS (кг/м³);Зола-унос (кг/м³);Микрокремнезём (кг/м³);Вода (кг/м³);Суперпластификатор (кг/м³);ЩебеньКрупный заполнитель (кг/м³);Песок Мелкий заполнитель (кг/м³);Возраст (дней);Осадка конуса (мм)  ← ТАРГЕТ 1;Прочность CS_28d (МПа)  ← ТАРГЕТ 2;Источник
394,00;0,00;99,00;0,00;148,00;8,87;1 134,00;725,00;28;200;65,6;Mendeley_Guangxi2022
240,00;0,00;0,00;0,00;230,00;0,00;0,00;1 580,00;28;70;12,2;Mendeley_Guangxi2022
280,00;0,00;0,00;0,00;230,00;0,00;0,00;1 580,00;28;90;15;Mendeley_Guangxi2022
340,00;0,00;0,00;0,00;240,00;0,00;0,00;1 580,00;28;80;21,1;Mendeley_Guangxi2022
420,00;0,00;0,00;0,00;250,00;0,00;0,00;1 580,00;28;70;26;Mendeley_Guangxi2022
240,00;0,00;0,00;0,00;230,00;0,00;0,00;1 580,00;28;70;13,6;Mendeley_Guangxi2022
280,00;0,00;0,00;0,00;230,00;0,00;0,00;1 580,00;28;90;15,85;Mendeley_Guangxi2022
340,00;0,00;0,00;0,00;240,00;0,00;0,00;1 580,00;28;80;19,5;Mendeley_Guangxi2022
420,00;0,00;0,00;0,00;250,00;0,00;0,00;1 580,00;28;70;26,7;Mendeley_Guangxi2022
240,00;0,00;0,00;0,00;230,00;0,00;0,00;1 580,00;28;70;12,3;Mendeley_Guangxi2022
280,00;0,00;0,00;0,00;230,00;0,00;0,00;1 580,00;28;90;13,95;Mendeley_Guangxi2022
340,00;0,00;0,00;0,00;240,00;0,00;0,00;1 580,00;28;80;19,7;Mendeley_Guangxi2022
420,00;0,00;0,00;0,00;250,00;0,00;0,00;1 580,00;28;70;26,8;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;4,13;998,00;851,00;28;210;43,3;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;166,00;4,32;1 125,00;750,00;28;200;43,75;Mendeley_Guangxi2022
260,00;0,00;0,00;0,00;164,00;2,60;1 107,00;869,00;28;180;28,1;Mendeley_Guangxi2022
260,00;0,00;0,00;0,00;164,00;2,60;1 107,00;869,00;28;175;28,1;Mendeley_Guangxi2022
289,00;0,00;0,00;0,00;165,00;3,18;1 132,00;817,00;28;175;32,1;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;180;36,15;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;170;36,15;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;175;36,15;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;1 017,00;833,00;28;200;45,6;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;1 017,00;833,00;28;190;45,6;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;168,00;4,51;1 020,00;802,00;28;200;55,5;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;168,00;4,51;1 020,00;802,00;28;195;55,5;Mendeley_Guangxi2022
455,00;0,00;0,00;0,00;241,00;22,75;802,00;802,00;28;100;32,1;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;168,00;4,51;1 020,00;802,00;28;200;54,95;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;168,00;4,51;1 020,00;802,00;28;195;54,95;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;1 017,00;833,00;28;200;45,5;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;1 017,00;833,00;28;190;45,5;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;1 054,00;796,00;28;185;46,8;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;168,00;4,51;1 020,00;802,00;28;200;56,6;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;168,00;4,51;1 020,00;802,00;28;195;56,6;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;185;52;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;170;52;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;195;52;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;185;53,4;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;170;53,4;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;195;53,4;Mendeley_Guangxi2022
289,00;0,00;0,00;0,00;162,00;2,89;1 132,00;817,00;28;180;32,2;Mendeley_Guangxi2022
289,00;0,00;0,00;0,00;162,00;2,89;1 132,00;817,00;28;170;32,2;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;165,00;4,68;1 087,00;788,00;28;180;43,4;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;4,94;998,00;851,00;28;210;42,1;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;165,00;3,96;1 087,00;788,00;28;165;42,55;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;210;44,55;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;215;44,55;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;190;44,55;Mendeley_Guangxi2022
482,00;0,00;0,00;0,00;246,00;38,56;786,00;786,00;28;100;32,45;Mendeley_Guangxi2022
455,00;0,00;0,00;0,00;241,00;36,40;802,00;802,00;28;100;32,8;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;210;46,5;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;215;46,5;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;190;46,5;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;168,00;4,92;1 020,00;802,00;28;195;54;Mendeley_Guangxi2022
222,00;0,00;147,00;0,00;155,00;4,80;1 088,00;788,00;28;190;44,2;Mendeley_Guangxi2022
471,00;0,00;0,00;0,00;165,00;7,07;1 124,00;660,00;28;170;54,55;Mendeley_Guangxi2022
488,00;0,00;0,00;0,00;158,00;7,32;1 064,00;740,00;28;185;62,45;Mendeley_Guangxi2022
482,00;0,00;0,00;0,00;246,00;38,56;786,00;786,00;28;100;34;Mendeley_Guangxi2022
455,00;0,00;0,00;0,00;241,00;36,40;802,00;802,00;28;100;31,1;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;168,00;4,92;1 020,00;802,00;28;195;53,2;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;210;44,05;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;215;44,05;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;190;44,05;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;165,00;4,32;1 087,00;788,00;28;175;43;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;165,00;4,32;1 087,00;788,00;28;180;43;Mendeley_Guangxi2022
260,00;0,00;0,00;0,00;164,00;2,60;1 107,00;869,00;28;180;30,45;Mendeley_Guangxi2022
260,00;0,00;0,00;0,00;164,00;2,60;1 107,00;869,00;28;175;30,45;Mendeley_Guangxi2022
249,00;0,00;166,00;0,00;170,00;7,06;1 107,00;738,00;28;190;48,7;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;185;44,35;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;170;44,35;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;195;44,35;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;180;34,75;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;170;34,75;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;175;34,75;Mendeley_Guangxi2022
530,00;0,00;0,00;0,00;160,00;8,48;1 090,00;670,00;28;190;66,25;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;168,00;4,51;1 024,00;838,00;28;195;55,3;Mendeley_Guangxi2022
482,00;0,00;0,00;0,00;246,00;38,56;786,00;786,00;28;100;34,1;Mendeley_Guangxi2022
455,00;0,00;0,00;0,00;241,00;36,40;802,00;802,00;28;100;28,35;Mendeley_Guangxi2022
530,00;0,00;0,00;0,00;160,00;8,48;1 090,00;670,00;28;190;66,8;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;210;41,45;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;215;41,45;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,32;998,00;851,00;28;190;41,45;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;165,00;4,32;1 087,00;788,00;28;175;42;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;165,00;4,32;1 087,00;788,00;28;180;42;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;180;35;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;170;35;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;175;35;Mendeley_Guangxi2022
289,00;0,00;0,00;0,00;162,00;2,89;1 132,00;817,00;28;180;27,15;Mendeley_Guangxi2022
289,00;0,00;0,00;0,00;162,00;2,89;1 132,00;817,00;28;170;27,15;Mendeley_Guangxi2022
260,00;0,00;0,00;0,00;164,00;2,60;1 107,00;869,00;28;180;23,2;Mendeley_Guangxi2022
260,00;0,00;0,00;0,00;164,00;2,60;1 107,00;869,00;28;175;23,2;Mendeley_Guangxi2022
287,00;0,00;148,00;0,00;165,00;5,87;1 080,00;750,00;28;195;42,9;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;185;44,5;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;170;44,5;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,18;999,00;851,00;28;195;44,5;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;168,00;4,51;1 024,00;838,00;28;195;50,25;Mendeley_Guangxi2022
490,00;0,00;0,00;0,00;158,00;8,82;1 064,00;740,00;28;200;64,75;Mendeley_Guangxi2022
490,00;0,00;0,00;0,00;158,00;8,82;1 064,00;740,00;28;200;64,15;Mendeley_Guangxi2022
490,00;0,00;0,00;0,00;160,00;7,35;1 020,00;684,00;28;215;66,8;Mendeley_Guangxi2022
530,00;0,00;0,00;0,00;165,00;7,95;1 088,00;670,00;28;215;71,8;Mendeley_Guangxi2022
530,00;0,00;0,00;0,00;165,00;7,95;1 088,00;670,00;28;215;71,6;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;180;46,9;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;170;46,9;Mendeley_Guangxi2022
324,00;0,00;0,00;0,00;162,00;3,89;1 148,00;766,00;28;175;46,9;Mendeley_Guangxi2022
289,00;0,00;0,00;0,00;165,00;3,18;1 129,00;817,00;28;180;41,1;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;165,00;4,32;1 125,00;750,00;28;180;44,95;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;171,00;5,70;998,00;851,00;28;220;51;Mendeley_Guangxi2022
277,00;0,00;0,00;0,00;164,00;2,60;1 107,00;869,00;28;175;30,9;Mendeley_Guangxi2022
455,00;0,00;0,00;0,00;241,00;22,75;802,00;802,00;28;100;29,8;Mendeley_Guangxi2022
482,00;0,00;0,00;0,00;246,00;28,20;786,00;786,00;28;90;36,2;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;4,29;1 017,00;832,00;28;175;52,25;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;168,00;4,51;1 020,00;801,00;28;180;54,1;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;175,00;5,32;996,00;849,00;28;220;47,4;Mendeley_Guangxi2022
355,00;0,00;0,00;0,00;174,00;4,26;1 066,00;805,00;28;180;43,25;Mendeley_Guangxi2022
320,00;0,00;0,00;0,00;173,00;3,84;1 049,00;858,00;28;175;36,1;Mendeley_Guangxi2022
280,00;0,00;0,00;0,00;174,00;3,36;1 070,00;876,00;28;170;32,35;Mendeley_Guangxi2022
252,00;0,00;0,00;0,00;174,00;3,02;1 046,00;928,00;28;180;25,9;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;173,00;4,32;1 008,00;859,00;28;175;46,85;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;164,00;5,74;1 041,00;785,00;28;180;50,5;Mendeley_Guangxi2022
320,00;0,00;0,00;0,00;173,00;3,84;1 049,00;858,00;28;175;38,2;Mendeley_Guangxi2022
355,00;0,00;0,00;0,00;174,00;4,26;1 066,00;805,00;28;180;41,75;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;175,00;5,32;996,00;849,00;28;220;44,7;Mendeley_Guangxi2022
400,00;0,00;0,00;0,00;160,00;5,20;1 040,00;850,00;28;200;44,9;Mendeley_Guangxi2022
213,00;0,00;0,00;0,00;147,00;2,77;1 122,00;918,00;28;165;22,3;Mendeley_Guangxi2022
280,00;0,00;0,00;0,00;147,00;3,64;1 084,00;888,00;28;150;34,1;Mendeley_Guangxi2022
410,00;0,00;0,00;0,00;160,00;5,33;1 043,00;787,00;28;165;50,1;Mendeley_Guangxi2022
280,00;0,00;0,00;0,00;150,00;3,64;1 100,00;900,00;28;165;33,4;Mendeley_Guangxi2022
320,00;0,00;0,00;0,00;147,00;4,16;1 091,00;892,00;28;160;40,6;Mendeley_Guangxi2022
280,00;0,00;0,00;0,00;150,00;3,64;1 120,00;880,00;28;160;40,1;Mendeley_Guangxi2022
345,00;0,00;0,00;0,00;145,00;4,48;1 117,00;834,00;28;50;51,8;Mendeley_Guangxi2022
250,00;0,00;0,00;0,00;143,00;3,25;1 140,00;860,00;28;50;28;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;156,00;4,68;1 048,00;857,00;28;200;46,7;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;167,00;5,70;1 047,00;790,00;28;200;39,8;Mendeley_Guangxi2022
413,00;0,00;0,00;0,00;165,00;6,20;1 090,00;726,00;28;205;48,2;Mendeley_Guangxi2022
393,00;0,00;0,00;0,00;165,00;5,90;1 071,00;775,00;28;210;44,6;Mendeley_Guangxi2022
302,00;0,00;0,00;0,00;166,00;3,02;1 035,00;882,00;28;205;24,5;Mendeley_Guangxi2022
319,00;0,00;0,00;0,00;166,00;3,83;1 055,00;865,00;28;210;28,4;Mendeley_Guangxi2022
341,00;0,00;0,00;0,00;167,00;4,09;1 063,00;835,00;28;200;34,1;Mendeley_Guangxi2022
365,00;0,00;0,00;0,00;168,00;4,09;1 068,00;805,00;28;205;40;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;169,00;4,32;1 070,00;807,00;28;210;38,7;Mendeley_Guangxi2022
376,00;0,00;0,00;0,00;158,00;4,89;1 086,00;786,00;28;130;45,2;Mendeley_Guangxi2022
317,00;0,00;0,00;0,00;165,00;3,80;1 058,00;866,00;28;195;28,7;Mendeley_Guangxi2022
386,00;0,00;0,00;0,00;162,00;4,63;1 076,00;780,00;28;170;44,2;Mendeley_Guangxi2022
476,00;0,00;0,00;0,00;162,00;7,14;1 077,00;688,00;28;170;60,6;Mendeley_Guangxi2022
252,00;0,00;0,00;0,00;164,00;2,52;1 050,00;931,00;28;185;19,8;Mendeley_Guangxi2022
457,00;0,00;0,00;0,00;215,00;27,42;751,00;937,00;28;125;34,6;Mendeley_Guangxi2022
307,00;0,00;0,00;0,00;215,00;0,00;1 070,00;808,00;28;135;24,8;Mendeley_Guangxi2022
307,00;0,00;0,00;0,00;215,00;0,00;1 070,00;808,00;28;140;24,8;Mendeley_Guangxi2022
307,00;0,00;0,00;0,00;215,00;0,00;1 070,00;808,00;28;135;24,2;Mendeley_Guangxi2022
307,00;0,00;0,00;0,00;215,00;0,00;1 070,00;808,00;28;140;24,2;Mendeley_Guangxi2022
234,00;0,00;41,00;0,00;176,00;6,05;1 091,00;858,00;28;185;22;Mendeley_Guangxi2022
249,00;0,00;44,00;0,00;176,00;6,45;1 081,00;850,00;28;180;27,2;Mendeley_Guangxi2022
287,00;0,00;51,00;0,00;176,00;7,44;1 056,00;830,00;28;175;33,8;Mendeley_Guangxi2022
332,00;0,00;59,00;0,00;176,00;8,99;1 026,00;807,00;28;190;39,1;Mendeley_Guangxi2022
340,00;0,00;60,00;0,00;176,00;9,20;1 031,00;843,00;28;215;38,9;Mendeley_Guangxi2022
249,00;0,00;0,00;0,00;184,00;5,48;1 211,00;846,00;28;180;22,1;Mendeley_Guangxi2022
275,00;0,00;0,00;0,00;184,00;6,05;1 106,00;835,00;28;185;28,8;Mendeley_Guangxi2022
320,00;0,00;0,00;0,00;176,00;7,04;1 085,00;819,00;28;190;34,1;Mendeley_Guangxi2022
359,00;0,00;0,00;0,00;176,00;8,26;1 063,00;802,00;28;195;39,1;Mendeley_Guangxi2022
391,00;0,00;0,00;0,00;176,00;8,99;1 017,00;866,00;28;210;40,7;Mendeley_Guangxi2022
214,00;0,00;0,00;0,00;184,00;4,71;1 141,00;861,00;28;185;16,8;Mendeley_Guangxi2022
354,00;0,00;0,00;0,00;184,00;7,79;1 061,00;801,00;28;190;27,5;Mendeley_Guangxi2022
479,00;0,00;0,00;0,00;158,00;13,89;1 070,00;743,00;28;195;61,1;Mendeley_Guangxi2022
354,00;0,00;0,00;0,00;158,00;12,73;1 093,00;760,00;28;190;50,1;Mendeley_Guangxi2022
431,00;0,00;0,00;0,00;110,00;12,50;1 184,00;725,00;28;65;5,8;Mendeley_Guangxi2022
280,00;0,00;0,00;0,00;156,00;2,50;1 100,00;864,00;28;150;24,35;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;160,00;5,70;1 023,00;837,00;28;210;42,75;Mendeley_Guangxi2022
330,00;0,00;0,00;0,00;155,00;3,96;1 072,00;843,00;28;140;35,25;Mendeley_Guangxi2022
300,00;0,00;0,00;0,00;160,00;3,00;1 087,00;853,00;28;150;29,8;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;150,00;4,68;1 058,00;832,00;28;150;44,4;Mendeley_Guangxi2022
395,00;0,00;0,00;0,00;158,00;6,32;1 053,00;794,00;28;140;45,55;Mendeley_Guangxi2022
230,00;0,00;0,00;0,00;145,00;2,30;987,00;988,00;28;180;24,05;Mendeley_Guangxi2022
260,00;0,00;0,00;0,00;156,00;3,12;1 006,00;938,00;28;180;29,6;Mendeley_Guangxi2022
300,00;0,00;0,00;0,00;159,00;3,60;1 037,00;884,00;28;180;36,5;Mendeley_Guangxi2022
340,00;0,00;0,00;0,00;170,00;4,08;1 020,00;869,00;28;190;44,6;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;162,00;5,40;995,00;883,00;28;220;44,5;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;152,00;4,94;1 108,00;770,00;28;180;47,3;Mendeley_Guangxi2022
400,00;0,00;0,00;0,00;156,00;6,00;1 094,00;760,00;28;180;55,3;Mendeley_Guangxi2022
400,00;0,00;0,00;0,00;156,00;6,00;1 094,00;760,00;28;180;56,95;Mendeley_Guangxi2022
480,00;0,00;0,00;0,00;158,00;7,20;1 093,00;699,00;28;200;66,95;Mendeley_Guangxi2022
470,00;0,00;22,50;0,00;214,00;6,50;809,00;877,00;28;170;27,56666667;Mendeley_Guangxi2022
490,00;0,00;23,00;0,00;220,00;6,70;816,00;884,00;28;170;34,63333333;Mendeley_Guangxi2022
247,00;0,00;0,00;0,00;158,00;3,71;1 051,00;894,00;28;180;26,2;Mendeley_Guangxi2022
267,00;0,00;0,00;0,00;160,00;4,01;1 038,00;885,00;28;170;28,1;Mendeley_Guangxi2022
300,00;0,00;0,00;0,00;159,00;4,50;1 076,00;845,00;28;175;34,8;Mendeley_Guangxi2022
340,00;0,00;0,00;0,00;170,00;4,76;1 058,00;832,00;28;195;40,85;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;162,00;6,48;1 070,00;808,00;28;210;41,3;Mendeley_Guangxi2022
380,00;0,00;0,00;0,00;138,00;5,32;1 121,00;771,00;28;185;46,3;Mendeley_Guangxi2022
400,00;0,00;0,00;0,00;156,00;6,80;1 094,00;760,00;28;200;53,75;Mendeley_Guangxi2022
400,00;0,00;0,00;0,00;156,00;7,20;1 094,00;760,00;28;190;55,8;Mendeley_Guangxi2022
490,00;0,00;23,00;0,00;220,00;4,90;884,00;816,00;28;190;34,46666667;Mendeley_Guangxi2022
470,00;0,00;22,50;0,00;214,00;5,17;877,00;809,00;28;195;28,73333333;Mendeley_Guangxi2022
480,00;0,00;0,00;0,00;144,00;7,68;1 059,00;767,00;28;170;67,95;Mendeley_Guangxi2022
460,00;0,00;0,00;0,00;138,00;7,38;1 074,00;778,00;28;175;66,1;Mendeley_Guangxi2022
292,00;0,00;0,00;0,00;175,00;3,21;1 055,00;898,00;28;160;27,9;Mendeley_Guangxi2022
292,00;0,00;0,00;0,00;175,00;3,21;1 055,00;898,00;28;155;27,9;Mendeley_Guangxi2022
314,00;0,00;0,00;0,00;160,00;4,71;1 076,00;880,00;28;160;33,6;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;151,00;5,40;1 107,00;802,00;28;165;42,3;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;151,00;5,40;1 107,00;802,00;28;160;42,3;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;6,24;1 028,00;842,00;28;215;44,4;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;6,24;1 028,00;842,00;28;210;44,4;Mendeley_Guangxi2022
388,00;0,00;0,00;0,00;155,00;5,82;1 089,00;788,00;28;185;51,2;Mendeley_Guangxi2022
415,00;0,00;0,00;0,00;162,00;6,22;1 051,00;792,00;28;190;51,8;Mendeley_Guangxi2022
415,00;0,00;0,00;0,00;162,00;6,22;1 051,00;792,00;28;180;51,8;Mendeley_Guangxi2022
433,00;0,00;0,00;0,00;156,00;6,93;1 080,00;751,00;28;180;56,45;Mendeley_Guangxi2022
277,00;0,00;0,00;0,00;180,00;2,77;1 080,00;883,00;28;160;25,85;Mendeley_Guangxi2022
277,00;0,00;0,00;0,00;180,00;2,77;1 080,00;883,00;28;155;25,85;Mendeley_Guangxi2022
286,00;0,00;95,00;0,00;160,00;5,72;1 041,00;818,00;28;185;41,3;Mendeley_Guangxi2022
286,00;0,00;95,00;0,00;160,00;5,72;1 041,00;818,00;28;190;41,3;Mendeley_Guangxi2022
418,00;0,00;25,08;0,00;188,00;5,85;756,00;888,00;28;155;28,4;Mendeley_Guangxi2022
418,00;0,00;25,08;0,00;188,00;5,85;756,00;888,00;28;150;28,4;Mendeley_Guangxi2022
455,00;0,00;27,30;0,00;182,00;6,37;765,00;898,00;28;140;34,75;Mendeley_Guangxi2022
455,00;0,00;27,30;0,00;182,00;6,37;765,00;898,00;28;130;34,75;Mendeley_Guangxi2022
292,00;0,00;0,00;0,00;175,00;3,21;1 055,00;898,00;28;160;28,25;Mendeley_Guangxi2022
292,00;0,00;0,00;0,00;175,00;3,21;1 055,00;898,00;28;155;28,25;Mendeley_Guangxi2022
314,00;0,00;0,00;0,00;160,00;4,71;1 076,00;880,00;28;160;34,3;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;151,00;5,40;1 107,00;802,00;28;165;44,05;Mendeley_Guangxi2022
360,00;0,00;0,00;0,00;151,00;5,40;1 107,00;802,00;28;160;44,05;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;6,24;1 028,00;842,00;28;215;44,9;Mendeley_Guangxi2022
390,00;0,00;0,00;0,00;160,00;6,24;1 028,00;842,00;28;210;44,9;Mendeley_Guangxi2022
388,00;0,00;0,00;0,00;155,00;5,82;1 089,00;788,00;28;185;51,05;Mendeley_Guangxi2022
415,00;0,00;0,00;0,00;162,00;6,22;1 051,00;792,00;28;190;52,6;Mendeley_Guangxi2022
415,00;0,00;0,00;0,00;162,00;6,22;1 051,00;792,00;28;180;52,6;Mendeley_Guangxi2022
277,00;0,00;0,00;0,00;180,00;2,77;1 080,00;883,00;28;160;27,05;Mendeley_Guangxi2022
277,00;0,00;0,00;0,00;180,00;2,77;1 080,00;883,00;28;155;27,05;Mendeley_Guangxi2022
286,00;0,00;95,00;0,00;160,00;5,72;1 041,00;818,00;28;185;42,05;Mendeley_Guangxi2022
286,00;0,00;95,00;0,00;160,00;5,72;1 041,00;818,00;28;190;42,05;Mendeley_Guangxi2022
433,00;0,00;0,00;0,00;156,00;6,93;1 080,00;751,00;28;180;57,9;Mendeley_Guangxi2022
418,00;0,00;25,08;0,00;188,00;5,85;756,00;888,00;28;155;29,4;Mendeley_Guangxi2022
418,00;0,00;25,08;0,00;188,00;5,85;756,00;888,00;28;150;29,4;Mendeley_Guangxi2022
455,00;0,00;27,30;0,00;182,00;6,37;765,00;898,00;28;140;33,4;Mendeley_Guangxi2022
455,00;0,00;27,30;0,00;182,00;6,37;765,00;898,00;28;130;33,4;Mendeley_Guangxi2022
438,00;0,00;0,00;0,00;162,00;7,01;1 056,00;764,00;28;200;52,85;Mendeley_Guangxi2022
438,00;0,00;0,00;0,00;162,00;7,01;1 056,00;764,00;28;210;52,85;Mendeley_Guangxi2022
438,00;0,00;0,00;0,00;162,00;7,01;1 056,00;764,00;28;200;52,7;Mendeley_Guangxi2022
438,00;0,00;0,00;0,00;162,00;7,01;1 056,00;764,00;28;210;52,7;Mendeley_Guangxi2022
235,00;0,00;0,00;0,00;160,00;0,00;1 095,00;860,00;28;170;21,6;Mendeley_Guangxi2022
250,00;0,00;0,00;0,00;160,00;3,00;1 087,00;854,00;28;175;21,6;Mendeley_Guangxi2022
250,00;0,00;0,00;0,00;160,00;3,00;1 087,00;854,00;28;170;21,6;Mendeley_Guangxi2022
306,00;0,00;0,00;0,00;170,00;3,67;1 129,00;753,00;28;170;35,55;Mendeley_Guangxi2022
359,00;0,00;0,00;0,00;158,00;4,31;1 167,00;716,00;28;170;43;Mendeley_Guangxi2022
381,00;0,00;0,00;0,00;160,00;4,95;1 097,00;762,00;28;200;41,15;Mendeley_Guangxi2022
372,00;0,00;0,00;0,00;160,00;4,46;1 121,00;747,00;28;170;42,25;Mendeley_Guangxi2022
386,00;0,00;0,00;0,00;166,00;4,63;1 090,00;758,00;28;190;47,45;Mendeley_Guangxi2022
420,00;0,00;0,00;0,00;168,00;5,04;1 069,00;743,00;28;180;52,25;Mendeley_Guangxi2022
494,00;0,00;0,00;0,00;158,00;7,90;1 141,00;670,00;28;180;63,95;Mendeley_Guangxi2022
330,00;0,00;0,00;0,00;165,00;3,96;1 113,00;742,00;28;170;37,95;Mendeley_Guangxi2022
